trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.2, 'e': 0.999998578414891}",20,0,-22.4087401812227,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.2, 'e': 0.9999977896157751}",20,0,-140.24994263332252,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.2, 'e': 0.9999966125088231}",20,0,-75.88612176838355,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.9999948807057013}",20,0,-173.9636071259522,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
47,False,"{'a': 0.2, 'e': 0.999992367570146}",30,0,-92.76839293976109,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.2, 'e': 0.9999887687242683}",20,0,-149.189589401666,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
49,False,"{'a': 0.2, 'e': 0.9999836809330238}",20,0,-67.22950190458636,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.2, 'e': 0.9999765770365739}",20,0,-69.41990538556503,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.9999667766794136}",25,0,-80.7636544076795,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.9999534126938807}",35,0,-70.55733098234103,"{0: 25, 1: 3, 2: 5, 3: 2, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.9999353931334475}",30,0,-222.00864356270827,"{0: 17, 1: 2, 2: 3, 3: 6, 4: 2}",0
54,False,"{'a': 0.2, 'e': 0.9999113591155008}",25,0,-103.36013400021035,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.9998796388196516}",25,0,-33.52507231519597,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
56,False,"{'a': 0.2, 'e': 0.9998381981895094}",25,0,-112.84896556901981,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
57,False,"{'a': 0.2, 'e': 0.9997845890952031}",25,1,-193.81254671849626,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 4}",1
58,False,"{'a': 0.2, 'e': 0.9997158959212787}",25,0,-138.51269996854052,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.9996286817397321}",25,0,-163.62924586643425,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
60,False,"{'a': 0.2, 'e': 0.9995189354003945}",20,0,-107.53787325314121,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.9993820210106689}",30,0,-361.14861722449785,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 8}",0
62,False,"{'a': 0.2, 'e': 0.9992126313747419}",20,6,-71.25818939919589,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
63,False,"{'a': 0.2, 'e': 0.9990047470115148}",20,0,-124.10272939540764,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
64,False,"{'a': 0.2, 'e': 0.9987516023653558}",20,0,-64.40895907465878,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.2, 'e': 0.9984456607615435}",20,0,-64.68151973437861,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
66,False,"{'a': 0.2, 'e': 0.9980785995387634}",25,0,-72.04098524092126,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 0}",0
